data|data_modificacao|tipo|raridade
27/06/2023|30/12/2023|Diário|Raro
27/06/2023|30/12/2023|Diário|Raro
27/06/2023|30/12/2023|Diário|Lendário
28/06/2023|30/12/2023|Diário|Raro
28/06/2023|30/12/2023|Diário|Super Raro
28/06/2023|30/12/2023|Diário|Mítico
29/06/2023|30/12/2023|Diário|Raro
29/06/2023|30/12/2023|Diário|Raro
29/06/2023|30/12/2023|Diário|Épico
30/06/2023|30/12/2023|Diário|Super Raro
30/06/2023|30/12/2023|Diário|Super Raro
30/06/2023|30/12/2023|Diário|Super Raro
01/07/2023|30/12/2023|Diário|Raro
01/07/2023|30/12/2023|Diário|Raro
01/07/2023|30/12/2023|Diário|Épico
02/07/2023|30/12/2023|Diário|Raro
02/07/2023|30/12/2023|Diário|Raro
02/07/2023|30/12/2023|Diário|Super Raro
03/07/2023|30/12/2023|Diário|Raro
03/07/2023|30/12/2023|Diário|Raro
03/07/2023|30/12/2023|Diário|Raro
04/07/2023|30/12/2023|Diário|Raro
04/07/2023|30/12/2023|Diário|Raro
04/07/2023|30/12/2023|Diário|Super Raro
05/07/2023|30/12/2023|Diário|Raro
05/07/2023|30/12/2023|Diário|Super Raro
05/07/2023|30/12/2023|Diário|Épico
06/07/2023|30/12/2023|Diário|Raro
06/07/2023|30/12/2023|Diário|Raro
06/07/2023|30/12/2023|Diário|Raro
07/07/2023|30/12/2023|Diário|Raro
07/07/2023|30/12/2023|Diário|Épico
07/07/2023|30/12/2023|Diário|Épico
08/07/2023|30/12/2023|Diário|Raro
08/07/2023|30/12/2023|Diário|Raro
08/07/2023|30/12/2023|Diário|Raro
09/07/2023|30/12/2023|Diário|Raro
09/07/2023|30/12/2023|Diário|Raro
09/07/2023|30/12/2023|Diário|Mítico
10/07/2023|30/12/2023|Diário|Super Raro
10/07/2023|30/12/2023|Diário|Raro
10/07/2023|30/12/2023|Diário|Lendário
11/07/2023|30/12/2023|Diário|Super Raro
11/07/2023|30/12/2023|Diário|Épico
11/07/2023|30/12/2023|Diário|Épico
12/07/2023|30/12/2023|Diário|Raro
12/07/2023|30/12/2023|Diário|Raro
12/07/2023|30/12/2023|Diário|Épico
13/07/2023|30/12/2023|Diário|Raro
13/07/2023|30/12/2023|Diário|Super Raro
13/07/2023|30/12/2023|Diário|Super Raro
14/07/2023|30/12/2023|Diário|Raro
14/07/2023|30/12/2023|Diário|Raro
